split,fit_partition,train_problems,test_problems,train_samples,test_samples,train_accuracy,test_accuracy,train_mean_probability,test_mean_probability,train_brier,test_brier,knot_count,raw_reward_min,raw_reward_max,raw_reward_knots,success_probability_knots
95,train_only,41,42,20992,21504,0.14105373475609756,0.12365141369047619,0.1410537347560975,0.11934516153683097,0.10346605830057698,0.08477359762034517,54,-15.0,17.375,"[-15.0, -5.4375, -5.40625, -4.59375, -4.5625, -4.34375, -4.3125, -3.203125, -3.1875, -2.5, -2.484375, -2.421875, -2.40625, -1.2265625, -1.21875, -0.87890625, -0.875, -0.75, -0.74609375, -0.62890625, -0.625, -0.55078125, -0.546875, 0.470703125, 0.47265625, 0.7734375, 0.77734375, 0.9765625, 0.98046875, 1.0546875, 1.0625, 1.484375, 1.4921875, 1.5078125, 1.515625, 2.421875, 2.4375, 2.515625, 2.53125, 2.953125, 2.96875, 3.296875, 3.3125, 3.484375, 3.5, 3.671875, 3.6875, 3.921875, 3.9375, 16.125, 16.375, 16.5, 16.75, 17.375]","[0.0, 0.0, 0.0037220843672456576, 0.0037220843672456576, 0.008658008658008658, 0.008658008658008658, 0.008849557522123894, 0.008849557522123894, 0.01171875, 0.01171875, 0.01282051282051282, 0.01282051282051282, 0.019646365422396856, 0.019646365422396856, 0.03180914512922465, 0.03180914512922465, 0.033783783783783786, 0.033783783783783786, 0.03867403314917127, 0.03867403314917127, 0.0449438202247191, 0.0449438202247191, 0.052884615384615384, 0.052884615384615384, 0.06830601092896176, 0.06830601092896176, 0.07142857142857142, 0.07142857142857142, 0.07954545454545454, 0.07954545454545454, 0.08609271523178808, 0.08609271523178808, 0.10638297872340426, 0.10638297872340426, 0.10847107438016529, 0.10847107438016529, 0.12121212121212122, 0.12121212121212122, 0.13404255319148933, 0.13404255319148933, 0.19866071428571427, 0.19866071428571427, 0.20245398773006135, 0.20245398773006135, 0.21025641025641026, 0.21025641025641026, 0.24686192468619247, 0.24686192468619247, 0.30662909286097684, 0.30662909286097684, 0.75, 0.75, 1.0, 1.0]"
96,train_only,41,42,20992,21504,0.13205030487804878,0.1324404761904762,0.13205030487804878,0.14518905046358593,0.09165227349401285,0.09801949087482473,68,-15.9375,18.125,"[-15.9375, -5.4375, -5.40625, -4.59375, -4.5625, -4.34375, -4.3125, -3.453125, -3.4375, -2.4375, -2.421875, -0.94921875, -0.9453125, -0.88671875, -0.8828125, -0.61328125, -0.609375, -0.408203125, -0.40625, 0.470703125, 0.47265625, 0.55078125, 0.5546875, 0.72265625, 0.7265625, 0.828125, 0.83203125, 0.9140625, 0.91796875, 1.09375, 1.1015625, 1.375, 1.3828125, 2.421875, 2.4375, 2.578125, 2.59375, 2.625, 2.640625, 3.296875, 3.3125, 3.921875, 3.9375, 8.25, 8.3125, 9.5, 9.5625, 12.75, 12.8125, 12.875, 12.9375, 13.125, 13.1875, 13.75, 13.8125, 13.875, 13.9375, 14.0, 14.0625, 14.5, 14.5625, 14.9375, 15.0, 16.25, 16.375, 17.25, 17.375, 18.125]","[0.0, 0.0, 0.005154639175257732, 0.005154639175257732, 0.007194244604316547, 0.007194244604316547, 0.008944543828264758, 0.008944543828264758, 0.011808576755748913, 0.011808576755748913, 0.011957484499557131, 0.011957484499557131, 0.019230769230769232, 0.019230769230769232, 0.022727272727272728, 0.022727272727272728, 0.04219409282700422, 0.04219409282700422, 0.042929292929292935, 0.042929292929292935, 0.07407407407407407, 0.07407407407407407, 0.08465608465608465, 0.08465608465608465, 0.08888888888888889, 0.08888888888888889, 0.09345794392523364, 0.09345794392523364, 0.09569377990430622, 0.09569377990430622, 0.09890109890109891, 0.09890109890109891, 0.10426871938418475, 0.10426871938418475, 0.11602209944751381, 0.11602209944751381, 0.1388888888888889, 0.1388888888888889, 0.15217391304347827, 0.15217391304347827, 0.17755443886097155, 0.17755443886097155, 0.2961663743422701, 0.2961663743422701, 0.31939978563772775, 0.31939978563772775, 0.36393713813068657, 0.36393713813068657, 0.47058823529411764, 0.47058823529411764, 0.5, 0.5, 0.6619718309859155, 0.6619718309859155, 0.6666666666666666, 0.6666666666666666, 0.7142857142857143, 0.7142857142857143, 0.8125, 0.8125, 0.8823529411764706, 0.8823529411764706, 0.9104477611940298, 0.9104477611940298, 0.9444444444444444, 0.9444444444444444, 1.0, 1.0]"
97,train_only,41,42,20992,21504,0.13762385670731708,0.12699962797619047,0.13762385670731708,0.15116902820810207,0.08975816497259329,0.10344210616280713,64,-15.9375,18.125,"[-15.9375, -9.1875, -9.125, -5.21875, -5.1875, -4.25, -4.21875, -3.484375, -3.46875, -3.109375, -3.09375, -2.8125, -2.796875, -1.6953125, -1.6875, -0.94921875, -0.9453125, -0.76953125, -0.765625, -0.61328125, -0.609375, -0.1767578125, -0.17578125, 0.12451171875, 0.126953125, 0.41796875, 0.419921875, 0.470703125, 0.47265625, 0.7109375, 0.71484375, 0.72265625, 0.7265625, 0.90625, 0.91015625, 1.4375, 1.4453125, 1.5546875, 1.5625, 2.40625, 2.421875, 2.578125, 2.59375, 3.953125, 3.96875, 4.03125, 4.0625, 6.03125, 6.0625, 7.71875, 7.75, 8.25, 8.3125, 13.1875, 13.25, 13.5625, 13.625, 14.0, 14.0625, 14.5625, 14.625, 15.0625, 15.125, 18.125]","[0.0, 0.0, 0.0018083182640144665, 0.0018083182640144665, 0.005649717514124294, 0.005649717514124294, 0.007881773399014778, 0.007881773399014778, 0.011741682974559686, 0.011741682974559686, 0.012987012987012988, 0.012987012987012988, 0.013287117273252455, 0.013287117273252455, 0.016194331983805668, 0.016194331983805668, 0.03167420814479638, 0.03167420814479638, 0.033816425120772944, 0.033816425120772944, 0.04411764705882353, 0.04411764705882353, 0.04635761589403973, 0.04635761589403973, 0.048672566371681415, 0.048672566371681415, 0.05, 0.05, 0.07421875, 0.07421875, 0.07692307692307693, 0.07692307692307693, 0.08585858585858586, 0.08585858585858586, 0.08963093145869948, 0.08963093145869948, 0.11009174311926606, 0.11009174311926606, 0.1111111111111111, 0.1111111111111111, 0.12352941176470589, 0.12352941176470589, 0.16953124999999997, 0.16953124999999997, 0.18181818181818182, 0.18181818181818182, 0.23948019801980197, 0.23948019801980197, 0.24459358687546606, 0.24459358687546606, 0.3158995815899582, 0.3158995815899582, 0.4621816799695933, 0.4621816799695933, 0.543859649122807, 0.543859649122807, 0.6, 0.6, 0.7567567567567568, 0.7567567567567568, 0.7804878048780488, 0.7804878048780488, 1.0, 1.0]"
98,train_only,41,42,20992,21504,0.1292873475609756,0.1351376488095238,0.1292873475609756,0.09101503902573123,0.08415338554337704,0.10978918311614236,54,-15.9375,18.625,"[-15.9375, -5.0, -4.96875, -4.25, -4.21875, -3.421875, -3.40625, -2.328125, -2.3125, -2.09375, -2.078125, -1.1640625, -1.15625, -1.1015625, -1.09375, -0.65625, -0.65234375, -0.5859375, -0.58203125, -0.1767578125, -0.17578125, 1.484375, 1.4921875, 2.40625, 2.421875, 2.46875, 2.484375, 2.546875, 2.5625, 3.421875, 3.4375, 3.46875, 3.484375, 3.515625, 3.53125, 4.40625, 4.4375, 4.46875, 8.4375, 8.5, 9.625, 9.6875, 11.625, 11.6875, 11.9375, 12.0, 12.0625, 15.75, 15.8125, 16.125, 16.25, 16.5, 16.625, 18.625]","[0.0, 0.0, 0.001379310344827586, 0.001379310344827586, 0.002207505518763797, 0.002207505518763797, 0.0035460992907801418, 0.0035460992907801418, 0.005797101449275362, 0.005797101449275362, 0.012291483757682178, 0.012291483757682178, 0.018867924528301886, 0.018867924528301886, 0.021032504780114723, 0.021032504780114723, 0.025974025974025976, 0.025974025974025976, 0.041474654377880185, 0.041474654377880185, 0.05084745762711865, 0.05084745762711865, 0.057926829268292686, 0.057926829268292686, 0.0625, 0.0625, 0.07058823529411765, 0.07058823529411765, 0.07306889352818371, 0.07306889352818371, 0.09259259259259259, 0.09259259259259259, 0.09523809523809523, 0.09523809523809523, 0.10250297973778308, 0.10250297973778308, 0.13333333333333333, 0.23962996120561025, 0.23962996120561025, 0.25073170731707317, 0.25073170731707317, 0.3698940998487141, 0.3698940998487141, 0.5609756097560976, 0.5609756097560976, 0.5652173913043478, 0.5968289920724802, 0.5968289920724802, 0.6, 0.6, 0.9565217391304348, 0.9565217391304348, 1.0, 1.0]"
99,train_only,41,42,20992,21504,0.14486471036585366,0.1199311755952381,0.14486471036585366,0.1092489451535596,0.10365631289299918,0.08554356067493846,51,-14.125,18.625,"[-14.125, -5.4375, -5.40625, -4.59375, -4.5625, -3.203125, -3.1875, -2.5, -2.484375, -2.421875, -2.40625, -1.7578125, -1.75, -1.2265625, -1.21875, -0.86328125, -0.859375, -0.75, -0.74609375, -0.1767578125, -0.17578125, 0.470703125, 0.47265625, 0.55078125, 0.5546875, 1.375, 1.3828125, 2.46875, 2.484375, 2.515625, 2.53125, 2.953125, 2.96875, 4.40625, 4.4375, 8.0, 8.0625, 8.25, 8.3125, 8.4375, 8.5, 15.75, 15.8125, 16.125, 16.25, 16.375, 16.5, 16.625, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.0038510911424903724, 0.0038510911424903724, 0.007175472928897586, 0.007175472928897586, 0.008968609865470852, 0.008968609865470852, 0.00980392156862745, 0.00980392156862745, 0.017957351290684626, 0.017957351290684626, 0.02556390977443609, 0.02556390977443609, 0.041474654377880185, 0.041474654377880185, 0.044642857142857144, 0.044642857142857144, 0.06635071090047394, 0.06635071090047394, 0.07051282051282051, 0.07051282051282051, 0.09302325581395349, 0.09302325581395349, 0.10259433962264151, 0.10259433962264151, 0.11023622047244094, 0.11023622047244094, 0.11320754716981132, 0.11320754716981132, 0.11645569620253164, 0.11645569620253164, 0.15306122448979592, 0.15306122448979592, 0.26281529698942235, 0.26281529698942235, 0.28085106382978725, 0.28085106382978725, 0.32413793103448274, 0.32413793103448274, 0.3651376146788991, 0.3651376146788991, 0.38095238095238093, 0.38095238095238093, 0.7142857142857143, 0.9166666666666666, 0.9166666666666666, 0.95, 0.95, 1.0, 1.0]"
100,train_only,41,42,20992,21504,0.17220846036585366,0.09323846726190477,0.1722084603658537,0.18836344388670329,0.1000181291292038,0.09926248840438898,60,-15.0,18.625,"[-15.0, -4.25, -4.21875, -3.453125, -3.4375, -3.109375, -3.09375, -1.7578125, -1.75, -0.89453125, -0.890625, -0.6640625, -0.66015625, -0.58203125, -0.578125, -0.26953125, -0.267578125, -0.1767578125, -0.17578125, 0.55078125, 0.5546875, 0.59375, 0.59765625, 1.0625, 1.0703125, 1.3828125, 1.390625, 1.453125, 1.4609375, 2.5625, 2.578125, 2.625, 2.640625, 3.296875, 3.3125, 3.921875, 3.9375, 8.25, 8.3125, 8.75, 8.8125, 11.625, 11.6875, 12.0, 12.0625, 12.75, 12.8125, 13.3125, 13.375, 13.5625, 13.625, 13.75, 13.8125, 14.8125, 14.875, 15.125, 15.1875, 16.0, 16.125, 18.625]","[0.0, 0.0, 0.0036036036036036037, 0.0036036036036036037, 0.003616636528028933, 0.003616636528028933, 0.01278227524499361, 0.01278227524499361, 0.020955574182732608, 0.020955574182732608, 0.026217228464419477, 0.026217228464419477, 0.030927835051546393, 0.030927835051546393, 0.03836317135549873, 0.03836317135549873, 0.050505050505050504, 0.050505050505050504, 0.05889423076923077, 0.05889423076923077, 0.07317073170731707, 0.07317073170731707, 0.08072916666666667, 0.08072916666666667, 0.08695652173913043, 0.08695652173913043, 0.1111111111111111, 0.1111111111111111, 0.12611717974180736, 0.12611717974180736, 0.13559322033898305, 0.13559322033898305, 0.21694915254237288, 0.21694915254237288, 0.25464684014869887, 0.25464684014869887, 0.4125240318593793, 0.4125240318593793, 0.4563380281690141, 0.4563380281690141, 0.462269129287599, 0.462269129287599, 0.5086705202312138, 0.5086705202312138, 0.5306122448979592, 0.5306122448979592, 0.5370370370370371, 0.5370370370370371, 0.6764705882352942, 0.6764705882352942, 0.75, 0.75, 0.8082191780821918, 0.8082191780821918, 0.9411764705882353, 0.9411764705882353, 0.9772727272727273, 0.9772727272727273, 1.0, 1.0]"
101,train_only,41,42,20992,21504,0.1150438262195122,0.1490420386904762,0.1150438262195122,0.10833853054515058,0.08154400978304391,0.1063692490334081,42,-14.125,18.625,"[-14.125, -5.21875, -5.1875, -3.109375, -3.09375, -0.373046875, -0.37109375, 0.140625, 0.142578125, 0.48046875, 0.482421875, 0.75, 0.75390625, 1.0625, 1.0703125, 1.4609375, 1.46875, 2.484375, 2.5, 2.515625, 2.53125, 2.59375, 2.609375, 3.296875, 3.3125, 3.328125, 3.34375, 3.984375, 4.0, 8.6875, 8.75, 8.8125, 15.75, 15.8125, 16.125, 16.25, 16.375, 16.5, 16.625, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.000751597143930853, 0.000751597143930853, 0.007823037496628002, 0.007823037496628002, 0.010434782608695653, 0.010434782608695653, 0.0150093808630394, 0.0150093808630394, 0.040740740740740744, 0.040740740740740744, 0.046875, 0.046875, 0.06583072100313479, 0.06583072100313479, 0.08362068965517241, 0.08362068965517241, 0.08695652173913043, 0.08695652173913043, 0.12903225806451613, 0.12903225806451613, 0.14053254437869822, 0.14053254437869822, 0.16666666666666666, 0.16666666666666666, 0.18181818181818182, 0.18181818181818182, 0.2308088614116435, 0.2308088614116435, 0.3333333333333333, 0.3673905304378782, 0.3673905304378782, 0.38095238095238093, 0.38095238095238093, 0.7142857142857143, 0.9166666666666666, 0.9166666666666666, 0.95, 0.95, 1.0, 1.0]"
102,train_only,41,42,20992,21504,0.10756478658536585,0.15634300595238096,0.10756478658536585,0.11752137412360525,0.08022708281221644,0.11387499330741123,61,-15.9375,18.125,"[-15.9375, -5.0, -4.96875, -3.421875, -3.40625, -2.421875, -2.40625, -2.359375, -2.34375, -1.7578125, -1.75, -1.5703125, -1.5625, -1.28125, -1.2734375, -1.2265625, -1.21875, -0.94921875, -0.9453125, -0.7109375, -0.70703125, -0.6015625, -0.59765625, -0.1767578125, -0.17578125, 0.671875, 0.67578125, 1.484375, 1.4921875, 2.640625, 2.65625, 2.78125, 2.796875, 3.484375, 3.5, 4.25, 4.28125, 5.84375, 5.875, 5.90625, 7.59375, 7.625, 9.5, 9.5625, 13.125, 13.1875, 13.25, 13.5, 13.5625, 14.0, 14.0625, 14.125, 14.5625, 14.625, 15.0625, 15.125, 16.25, 16.375, 17.25, 17.375, 18.125]","[0.0, 0.0, 0.0016068559185859668, 0.0016068559185859668, 0.005761843790012804, 0.005761843790012804, 0.012345679012345678, 0.012345679012345678, 0.01700318809776833, 0.01700318809776833, 0.025735294117647058, 0.025735294117647058, 0.029411764705882356, 0.029411764705882356, 0.030303030303030304, 0.030303030303030304, 0.03636363636363636, 0.03636363636363636, 0.039999999999999994, 0.039999999999999994, 0.045714285714285714, 0.045714285714285714, 0.05732484076433121, 0.05732484076433121, 0.06616052060737526, 0.06616052060737526, 0.0782520325203252, 0.0782520325203252, 0.09882515549412578, 0.09882515549412578, 0.11510791366906475, 0.11510791366906475, 0.1225114854517611, 0.1225114854517611, 0.14570552147239263, 0.14570552147239263, 0.16520351157222665, 0.16520351157222665, 0.21428571428571427, 0.24390243902439024, 0.24390243902439024, 0.270849273144606, 0.270849273144606, 0.3115468409586057, 0.3115468409586057, 0.3333333333333333, 0.42592592592592593, 0.42592592592592593, 0.5, 0.5, 0.6, 0.6285714285714286, 0.6285714285714286, 0.717391304347826, 0.717391304347826, 0.9032258064516129, 0.9032258064516129, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]"
103,train_only,41,42,20992,21504,0.1169969512195122,0.14713541666666666,0.11699695121951217,0.1444028189520902,0.08212855218831631,0.10373356599585384,49,-15.0,18.625,"[-15.0, -5.4375, -5.40625, -4.5625, -4.53125, -4.34375, -4.3125, -3.203125, -3.1875, -2.4375, -2.421875, -1.7578125, -1.75, -0.74609375, -0.7421875, -0.703125, -0.69921875, 0.478515625, 0.48046875, 0.55078125, 0.5546875, 0.67578125, 0.6796875, 1.09375, 1.1015625, 1.3828125, 1.390625, 1.40625, 1.4140625, 2.265625, 2.28125, 2.59375, 2.609375, 2.625, 2.640625, 3.296875, 3.3125, 3.921875, 3.9375, 8.6875, 8.75, 8.8125, 15.75, 15.8125, 16.125, 16.25, 16.5, 16.625, 18.625]","[0.0, 0.0, 0.002803738317757009, 0.002803738317757009, 0.003731343283582089, 0.003731343283582089, 0.007069408740359897, 0.007069408740359897, 0.016433853738701727, 0.016433853738701727, 0.017269736842105265, 0.017269736842105265, 0.01952141057934509, 0.01952141057934509, 0.028985507246376812, 0.028985507246376812, 0.04144144144144144, 0.04144144144144144, 0.04807692307692308, 0.04807692307692308, 0.06201550387596899, 0.06201550387596899, 0.06625258799171842, 0.06625258799171842, 0.07037037037037037, 0.07037037037037037, 0.08333333333333333, 0.08333333333333333, 0.08447488584474885, 0.08447488584474885, 0.08616187989556136, 0.08616187989556136, 0.09523809523809523, 0.09523809523809523, 0.15341701534170155, 0.15341701534170155, 0.17509025270758122, 0.17509025270758122, 0.286697247706422, 0.286697247706422, 0.3877551020408163, 0.38788167938931295, 0.38788167938931295, 0.4, 0.4, 0.9375, 0.9375, 1.0, 1.0]"
104,train_only,41,42,20992,21504,0.1015625,0.16220238095238096,0.1015625,0.09503002064867003,0.08025683162232182,0.11231747727657039,42,-15.0,17.25,"[-15.0, -5.0, -4.96875, -4.5625, -4.53125, -4.25, -4.21875, -3.875, -3.859375, -3.1875, -3.171875, -1.2265625, -1.21875, -0.75, -0.74609375, -0.408203125, -0.40625, -0.1552734375, -0.154296875, 0.51953125, 0.5234375, 0.55078125, 0.5546875, 1.0703125, 1.078125, 1.5078125, 1.515625, 2.515625, 2.53125, 2.625, 2.640625, 3.328125, 3.34375, 4.0, 4.03125, 9.625, 9.6875, 11.625, 11.6875, 16.25, 16.375, 17.25]","[0.0, 0.0, 0.001984126984126984, 0.001984126984126984, 0.0028653295128939827, 0.0028653295128939827, 0.004424778761061947, 0.004424778761061947, 0.0053533190578158455, 0.0053533190578158455, 0.015249068112504233, 0.015249068112504233, 0.01639344262295082, 0.01639344262295082, 0.02313624678663239, 0.02313624678663239, 0.029850746268656716, 0.029850746268656716, 0.03731343283582089, 0.03731343283582089, 0.044444444444444446, 0.044444444444444446, 0.05190311418685121, 0.05190311418685121, 0.07194244604316546, 0.07194244604316546, 0.07439310884886452, 0.07439310884886452, 0.0873015873015873, 0.0873015873015873, 0.13229018492176384, 0.13229018492176384, 0.18547140649149924, 0.18547140649149924, 0.2123441651338647, 0.2123441651338647, 0.27835051546391754, 0.27835051546391754, 0.3338048090523338, 0.3338048090523338, 0.5, 0.5]"
