task,problem_id,responses,mean_response_characters,generator
alpaca,59,960,2714.022916666667,llama3.1_8b
alpaca,75,960,43.052083333333336,llama3.1_8b
alpaca,0,960,2955.696875,llama3.1_8b
alpaca,1,960,1685.475,llama3.1_8b
alpaca,2,960,344.57916666666665,llama3.1_8b
alpaca,3,960,2756.7052083333333,llama3.1_8b
alpaca,4,960,2094.284375,llama3.1_8b
alpaca,5,960,388.84270833333335,llama3.1_8b
alpaca,6,960,313.37604166666665,llama3.1_8b
alpaca,7,960,2039.059375,llama3.1_8b
alpaca,8,960,1822.4145833333334,llama3.1_8b
alpaca,9,960,2313.092708333333,llama3.1_8b
alpaca,10,960,1504.5604166666667,llama3.1_8b
alpaca,11,960,5876.610416666666,llama3.1_8b
alpaca,12,960,1366.3041666666666,llama3.1_8b
alpaca,13,960,4038.8614583333333,llama3.1_8b
alpaca,14,960,2869.358333333333,llama3.1_8b
alpaca,15,960,387.55,llama3.1_8b
alpaca,16,960,1319.0708333333334,llama3.1_8b
alpaca,17,960,328.01979166666666,llama3.1_8b
alpaca,18,960,876.45,llama3.1_8b
alpaca,19,960,2429.047916666667,llama3.1_8b
alpaca,20,960,2396.7541666666666,llama3.1_8b
alpaca,21,960,3644.603125,llama3.1_8b
alpaca,22,960,750.7427083333333,llama3.1_8b
alpaca,23,960,1175.0833333333333,llama3.1_8b
alpaca,24,960,6821.014583333334,llama3.1_8b
alpaca,25,960,163.95625,llama3.1_8b
alpaca,26,960,2192.4645833333334,llama3.1_8b
alpaca,27,960,80.346875,llama3.1_8b
alpaca,28,960,1976.2114583333334,llama3.1_8b
alpaca,29,960,4325.729166666667,llama3.1_8b
alpaca,30,960,3127.5447916666667,llama3.1_8b
alpaca,31,960,1912.4333333333334,llama3.1_8b
alpaca,32,960,2372.6291666666666,llama3.1_8b
alpaca,33,960,4018.790625,llama3.1_8b
alpaca,34,960,2031.8354166666666,llama3.1_8b
alpaca,35,960,2887.071875,llama3.1_8b
alpaca,36,960,1409.9760416666666,llama3.1_8b
alpaca,37,960,3926.9,llama3.1_8b
alpaca,38,960,994.41875,llama3.1_8b
alpaca,39,960,71.75833333333334,llama3.1_8b
alpaca,40,960,1192.975,llama3.1_8b
alpaca,41,960,3721.40625,llama3.1_8b
alpaca,42,960,3878.8541666666665,llama3.1_8b
alpaca,43,960,217.16666666666666,llama3.1_8b
alpaca,44,960,3441.320833333333,llama3.1_8b
alpaca,45,960,256.8197916666667,llama3.1_8b
alpaca,46,960,3512.903125,llama3.1_8b
alpaca,47,960,398.99791666666664,llama3.1_8b
alpaca,48,960,134.26041666666666,llama3.1_8b
alpaca,49,960,158.496875,llama3.1_8b
alpaca,50,960,2503.914583333333,llama3.1_8b
alpaca,51,960,2354.1979166666665,llama3.1_8b
alpaca,52,960,2562.015625,llama3.1_8b
alpaca,53,960,993.4520833333333,llama3.1_8b
alpaca,54,960,1438.903125,llama3.1_8b
alpaca,55,960,1991.4791666666667,llama3.1_8b
alpaca,56,960,2478.320833333333,llama3.1_8b
alpaca,57,960,3692.795833333333,llama3.1_8b
alpaca,58,960,2053.327083333333,llama3.1_8b
alpaca,60,960,421.1010416666667,llama3.1_8b
alpaca,61,960,706.1770833333334,llama3.1_8b
alpaca,62,960,998.9333333333333,llama3.1_8b
alpaca,63,960,2949.8489583333335,llama3.1_8b
alpaca,64,960,2483.5802083333333,llama3.1_8b
alpaca,65,960,5295.779166666666,llama3.1_8b
alpaca,66,960,2045.46875,llama3.1_8b
alpaca,67,960,1398.3302083333333,llama3.1_8b
alpaca,68,960,2370.844791666667,llama3.1_8b
alpaca,69,960,3677.0447916666667,llama3.1_8b
alpaca,70,960,540.2520833333333,llama3.1_8b
alpaca,71,960,371.5125,llama3.1_8b
alpaca,72,960,116.54375,llama3.1_8b
alpaca,73,960,982.4260416666667,llama3.1_8b
alpaca,74,960,290.08229166666666,llama3.1_8b
alpaca,76,960,1948.6729166666667,llama3.1_8b
alpaca,77,960,1776.015625,llama3.1_8b
alpaca,78,960,2038.778125,llama3.1_8b
alpaca,79,960,3462.2,llama3.1_8b
alpaca,80,960,679.221875,llama3.1_8b
alpaca,81,960,3861.3458333333333,llama3.1_8b
alpaca,82,960,2053.4510416666667,llama3.1_8b
alpaca,83,960,1431.2145833333334,llama3.1_8b
alpaca,84,960,185.92083333333332,llama3.1_8b
alpaca,85,960,147.90208333333334,llama3.1_8b
alpaca,86,960,2639.0979166666666,llama3.1_8b
alpaca,87,960,3928.9885416666666,llama3.1_8b
alpaca,88,960,2776.1541666666667,llama3.1_8b
alpaca,89,960,3368.1229166666667,llama3.1_8b
