generator,divisor,splits,adaptive_score_mean,adaptive_score_ci_low,adaptive_score_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high,cost_mismatch_mean,cost_mismatch_ci_low,cost_mismatch_ci_high
gemma2_9b,100000.0,10,0.5835799951809183,0.5661223925419345,0.6010375978199021,8661.425,8366.702958893913,8956.147041106085,8661.425,8366.702958893913,8956.147041106085,0.0,-6.134041167636611e-13,6.134041167636611e-13
gemma2_9b,500000.0,10,0.5844260371943164,0.5654510718978034,0.6034010024908294,32527.303999999996,30268.622820718214,34785.98517928178,32527.303999999996,30268.622820718214,34785.98517928178,-7.275957614183426e-13,-2.37353172473246e-12,9.183402018957748e-13
gemma2_9b,1000000.0,10,0.5950891241403038,0.5835199753833165,0.6066582728972911,59832.17125,57369.27801291377,62295.06448708623,59832.17125,57369.27801291377,62295.06448708623,7.275957614183426e-13,-9.183402018957748e-13,2.37353172473246e-12
gemma2_9b,5000000.0,10,0.6165532745159439,0.6020683630541235,0.6310381859777643,234111.49175,222914.327916668,245308.65558333197,234111.49175,222914.327916668,245308.65558333197,0.0,0.0,0.0
gemma2_9b,10000000.0,10,0.6137125375972867,0.6025065718128735,0.6249185033817,422361.1375,409913.3248596717,434808.9501403283,422361.1375,409913.3248596717,434808.9501403283,0.0,0.0,0.0
gemma2_9b,50000000.0,10,0.5116585848799493,0.5056570744940556,0.517660095265843,1333898.3395,1256073.5475912034,1411723.1314087966,1333898.3395,1256073.5475912034,1411723.1314087966,0.0,0.0,0.0
llama3.1_8b,100000.0,10,0.577864797335798,0.5625857003462528,0.5931438943253432,10571.998249999999,9971.526610600991,11172.469889399006,10571.998249999999,9971.526610600991,11172.469889399006,0.0,0.0,0.0
llama3.1_8b,500000.0,10,0.5731675545034078,0.5504631717595315,0.5958719372472842,33901.64399999999,30984.9764931841,36818.31150681589,33901.64399999999,30984.976493184095,36818.31150681589,-1.4551915228366853e-12,-3.649772807255509e-12,7.393897615821381e-13
llama3.1_8b,1000000.0,10,0.5883433529130678,0.5650998896644672,0.6115868161616684,59644.57375,56229.09862095286,63060.04887904715,59644.57375,56229.09862095285,63060.04887904716,-3.637978807091713e-12,-7.31840350767368e-12,4.2445893490253916e-14
llama3.1_8b,5000000.0,10,0.6150052329338663,0.6025799478113427,0.6274305180563899,228744.45924999999,218219.65177396327,239269.2667260367,228744.45924999999,218219.65177396327,239269.2667260367,2.9103830456733705e-12,-3.673360807583099e-12,9.49412689892984e-12
llama3.1_8b,10000000.0,10,0.6038198116646972,0.589177107631508,0.6184625156978865,408704.68575,390963.3986061239,426445.9728938761,408704.68575,390963.3986061239,426445.9728938761,5.820766091346741e-12,-7.346721615166198e-12,1.898825379785968e-11
llama3.1_8b,50000000.0,10,0.5136748378153394,0.5069209382973857,0.5204287373332931,1851271.827,1757873.8901293022,1944669.763870698,1851271.827,1757873.8901293022,1944669.763870698,0.0,0.0,0.0
llama3.2_3b,100000.0,10,0.560644108439402,0.5403343378887756,0.5809538789900285,10964.83975,10228.825682912233,11700.853817087765,10964.83975,10228.825682912233,11700.853817087765,0.0,0.0,0.0
llama3.2_3b,500000.0,10,0.5590320418291447,0.5402753271102654,0.577788756548024,35337.23175,31909.68875397356,38764.774746026436,35337.23175,31909.68875397356,38764.774746026436,0.0,0.0,0.0
llama3.2_3b,1000000.0,10,0.5696478734073449,0.5522610525986137,0.5870346942160761,61195.73175,57541.795913679045,64849.66758632095,61195.73175,57541.795913679045,64849.66758632095,-7.275957614183426e-13,-4.568113009151283e-12,3.112921486314598e-12
llama3.2_3b,5000000.0,10,0.625253765429205,0.6074146314183947,0.6430928994400152,245924.96675,237324.5197971157,254525.41370288428,245924.96675,237324.5197971157,254525.41370288428,2.9103830456733705e-12,-8.907798853574912e-12,1.4728564944921655e-11
llama3.2_3b,10000000.0,10,0.6155863971348401,0.6058496643321967,0.6253231299374835,443069.34775,432468.93321443256,453669.76228556747,443069.34775,432468.93321443256,453669.76228556747,-5.820766091346741e-12,-1.898825379785968e-11,7.346721615166198e-12
llama3.2_3b,50000000.0,10,0.5200768812690546,0.5108915510463327,0.5292622114917765,1715862.83525,1614323.0671934648,1817402.6033065352,1715862.83525,1614323.0671934648,1817402.6033065352,4.656612873077393e-11,-2.366047237062842e-11,1.1679272983217628e-10
mistral_7b,100000.0,10,0.5694899524037472,0.5510783059438757,0.5879015988636187,10220.673499999999,9600.02861616497,10841.318383835029,10220.673499999999,9600.02861616497,10841.318383835029,-1.8189894035458566e-13,-5.93382931183115e-13,2.295850504739437e-13
mistral_7b,500000.0,10,0.5741376989229902,0.5536357624356788,0.5946396354103015,31251.110750000003,28412.795404096887,34089.42609590312,31251.110750000003,28412.795404096887,34089.42609590312,7.275957614183426e-13,-9.183402018957748e-13,2.37353172473246e-12
mistral_7b,1000000.0,10,0.5897840852842121,0.5712016120875447,0.6083665584808795,52713.89925,48966.022368777325,56461.77613122268,52713.89925,48966.022368777325,56461.77613122268,-7.275957614183426e-13,-2.37353172473246e-12,9.183402018957748e-13
mistral_7b,5000000.0,10,0.5892462327600637,0.5754439406032095,0.603048524916918,208424.356,200048.88727956163,216799.82472043837,208424.356,200048.88727956163,216799.82472043837,0.0,-9.814465868218578e-12,9.814465868218578e-12
mistral_7b,10000000.0,10,0.5796790462190605,0.5667300897969332,0.5926280026411879,421845.59325000003,409945.8516447573,433745.33485524275,421845.59325000003,409945.8516447573,433745.33485524275,1.1641532182693482e-11,-5.915118092657105e-12,2.919818245804407e-11
mistral_7b,50000000.0,10,0.5177534121621172,0.5115866846992643,0.5239201396249702,1675632.46625,1629641.3546274933,1721623.5778725068,1675632.46625,1629641.3546274933,1721623.5778725068,0.0,0.0,0.0
qwen2.5_7b,100000.0,10,0.5813196342233693,0.564811291598572,0.5978279768481666,11046.727750000002,10533.183142040205,11560.272357959799,11046.727750000002,10533.183142040205,11560.272357959799,0.0,0.0,0.0
qwen2.5_7b,500000.0,10,0.5625217157602106,0.5395723259105627,0.5854711056098585,33003.02525,30389.283572803753,35616.766927196244,33003.025250000006,30389.28357280376,35616.76692719625,-7.275957614183426e-13,-3.682141236230414e-12,2.226949713393728e-12
qwen2.5_7b,1000000.0,10,0.5872278170988687,0.570313724992487,0.6041419092052505,58977.80700000001,53790.10682998904,64165.50717001098,58977.80700000001,53790.10682998904,64165.50717001098,-7.275957614183426e-13,-2.37353172473246e-12,9.183402018957748e-13
qwen2.5_7b,5000000.0,10,0.6216899294031316,0.6055931928310883,0.637786665975175,241056.44725000003,228828.96554386802,253283.92895613203,241056.44724999997,228828.96554386796,253283.92895613197,8.73114913702011e-12,-1.325685717562556e-12,1.878798399160278e-11
qwen2.5_7b,10000000.0,10,0.619471029191803,0.6048552576866727,0.6340868006969332,458346.2805,438020.29900950484,478672.26199049514,458346.2805,438020.29900950484,478672.26199049514,-5.820766091346741e-12,-1.898825379785968e-11,7.346721615166198e-12
qwen2.5_7b,50000000.0,10,0.5298280716135222,0.517131929894445,0.5425242133325994,1853547.5552499997,1770040.6118513695,1937054.49864863,1853547.5552499997,1770040.6118513695,1937054.49864863,0.0,0.0,0.0
