generator,divisor,splits,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,fixed_utility_mean,fixed_utility_ci_low,fixed_utility_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high
gemma2_9b,100000.0,10,8.68660492672753,6.850253599736262,10.522956253718796,0.022627923661950412,0.018008359280775613,0.027247488043125212,0.28439833890792343,0.2774130586817526,0.2913836191340943,0.26177041524597305,0.25459495849447283,0.2689458719974733,0.3710125889079235,0.36264828948711203,0.37937688832873495,8661.425,8366.702958893913,8956.147041106085,15.873000000000001,13.518638234817285,18.227361765182717
gemma2_9b,500000.0,10,5.113045840844045,3.0656747963285222,7.160416885359567,0.019036906532786557,0.011338595264178089,0.026735217801395025,0.3920916132022955,0.38347326230450596,0.4007099641000851,0.373054706669509,0.3677301464815578,0.37837926685746026,0.45714622120229553,0.4481021554037467,0.46619028700084436,32527.303999999996,30268.622820718214,34785.98517928178,71.77475,58.4174043448964,85.1320956551036
gemma2_9b,1000000.0,10,5.549889593905762,3.87353298689559,7.226246200915934,0.023117552087385855,0.016230967181852136,0.030004136992919574,0.4406983508712007,0.43287209299106355,0.4485246087513378,0.4175807987838149,0.41150453102720497,0.4236570665404248,0.5005305221212007,0.49198067995793404,0.5090803642844675,59832.17125,57369.27801291377,62295.06448708623,130.00625,109.95846121265194,150.05403878734805
gemma2_9b,5000000.0,10,4.9561843704192565,4.119330812033568,5.793037928804945,0.025279042782814863,0.02100389297325798,0.029554192592371745,0.5353442660220147,0.5282540054695427,0.5424345265744867,0.5100652232391999,0.5045834060422585,0.5155470404361413,0.5821665643720147,0.5750333331071874,0.5892997956368421,234111.49175,222914.327916668,245308.65558333197,372.16050000000007,347.69585560286197,396.6251443971382
gemma2_9b,10000000.0,10,4.377215281956454,3.8000117146931656,4.954418849219743,0.023790938072097458,0.02070132039912043,0.026880555745074485,0.5677254940546586,0.5604486857002089,0.5750023024091082,0.5439345559825611,0.5368655804005508,0.5510035315645715,0.6099616078046586,0.6027419606456675,0.6171812549636496,422361.1375,409913.3248596717,434808.9501403283,547.6034999999999,516.244079940794,578.9629200592059
gemma2_9b,50000000.0,10,0.10512806559711112,-0.03633232690608311,0.24658845810030533,0.0006581898734741354,-0.00023328225982688876,0.0015496620067751595,0.6222470252276532,0.6143461710692516,0.6301478793860548,0.621588835354179,0.6139664199353801,0.6292112507729778,0.6489249920176532,0.6418938885364082,0.6559560954988982,1333898.3395,1256073.5475912034,1411723.1314087966,951.4615,947.6220928383004,955.3009071616996
llama3.1_8b,100000.0,10,15.188062856954085,11.713752941378846,18.662372772529324,0.029572495283973998,0.02318849607820439,0.035956494489743605,0.22570183096057067,0.2167276158109649,0.23467604611017645,0.19612933567659668,0.18802860870453708,0.20423006264865629,0.33142181346057076,0.32039831501738275,0.34244531190375876,10571.998249999999,9971.526610600991,11172.469889399006,13.97275,11.564735256296036,16.380764743703963
llama3.1_8b,500000.0,10,6.910809078215264,5.062463454958231,8.759154701472296,0.022824349484095636,0.016535667740411198,0.029113031227780074,0.3516514189544128,0.3406257700849696,0.36267706782385606,0.3288270694703172,0.32254432056827603,0.33510981837235837,0.4194547069544128,0.407620382202391,0.43128903170643457,33901.64399999999,30984.9764931841,36818.31150681589,56.66149999999999,44.328434466237916,68.99456553376207
llama3.1_8b,1000000.0,10,7.645315400540828,5.193051170590647,10.097579630491008,0.02918317697140141,0.020104368410125622,0.03826198553267719,0.41150715937677357,0.4007279047505798,0.42228641400296735,0.3823239824053722,0.37567599221802817,0.3889719725927162,0.47115173312677355,0.46031190993811333,0.4819915563154338,59644.57375,56229.09862095286,63060.04887904715,98.3965,82.92623796535985,113.86676203464016
llama3.1_8b,5000000.0,10,6.889617359268544,6.157646114161021,7.621588604376067,0.034343467412073184,0.030597082689421278,0.038089852134725086,0.5326055390832154,0.5230007238172282,0.5422103543492026,0.49826207167114234,0.4904511664126173,0.5060729769296674,0.5783544309332155,0.569944291562261,0.58676457030417,228744.45924999999,218219.65177396327,239269.2667260367,289.4375,270.8899085343452,307.9850914656548
