split,fit_partition,train_problems,test_problems,train_samples,test_samples,train_accuracy,test_accuracy,train_mean_probability,test_mean_probability,train_brier,test_brier,knot_count,raw_reward_min,raw_reward_max,raw_reward_knots,success_probability_knots
75,train_only,41,42,20992,21504,0.16649199695121952,0.0988188244047619,0.1664919969512195,0.14626887204806222,0.11187765000277901,0.07688957388242929,53,-15.9375,18.625,"[-15.9375, -5.0, -4.96875, -4.59375, -4.5625, -3.421875, -3.40625, -3.1875, -3.171875, -2.4375, -2.421875, -1.7578125, -1.75, -1.28125, -1.2734375, -0.94921875, -0.9453125, -0.75, -0.74609375, -0.7265625, -0.72265625, -0.640625, -0.63671875, -0.61328125, -0.609375, -0.169921875, -0.1689453125, 0.8671875, 0.87109375, 0.88671875, 0.890625, 1.375, 1.3828125, 1.484375, 1.4921875, 2.578125, 2.59375, 2.625, 2.640625, 3.296875, 3.3125, 3.921875, 3.9375, 11.625, 11.6875, 16.125, 16.25, 16.375, 16.5, 16.625, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.0026041666666666665, 0.0026041666666666665, 0.004897959183673469, 0.004897959183673469, 0.00625, 0.00625, 0.01794616151545364, 0.01794616151545364, 0.021421616358325218, 0.021421616358325218, 0.033807829181494664, 0.033807829181494664, 0.03571428571428571, 0.03571428571428571, 0.04090909090909091, 0.04090909090909091, 0.06451612903225806, 0.06451612903225806, 0.07216494845360824, 0.07216494845360824, 0.07407407407407407, 0.07407407407407407, 0.08078602620087336, 0.08078602620087336, 0.10085632730732635, 0.10085632730732635, 0.10526315789473684, 0.10526315789473684, 0.11244979919678715, 0.11244979919678715, 0.11267605633802817, 0.11267605633802817, 0.1457378551787351, 0.1457378551787351, 0.16666666666666666, 0.16666666666666666, 0.1949509116409537, 0.1949509116409537, 0.23, 0.23, 0.35417986067131096, 0.35417986067131096, 0.42900302114803623, 0.42900302114803623, 0.7142857142857143, 0.9166666666666666, 0.9166666666666666, 0.95, 0.95, 1.0, 1.0]"
76,train_only,41,42,20992,21504,0.14829458841463414,0.11658296130952381,0.14829458841463417,0.1548626306911701,0.09427255744023329,0.09680483040567699,70,-15.9375,18.625,"[-15.9375, -9.1875, -9.125, -5.21875, -5.1875, -4.25, -4.21875, -3.96875, -3.953125, -3.484375, -3.46875, -3.1875, -3.171875, -2.765625, -2.75, -2.359375, -2.34375, -1.6953125, -1.6875, -1.2265625, -1.21875, -0.30859375, -0.306640625, 0.44921875, 0.451171875, 0.48046875, 0.482421875, 0.59375, 0.59765625, 0.75, 0.75390625, 1.5078125, 1.515625, 2.5, 2.515625, 2.53125, 2.78125, 2.796875, 2.953125, 2.96875, 3.921875, 3.9375, 8.25, 8.3125, 8.4375, 8.5, 8.6875, 8.75, 12.625, 12.6875, 12.75, 12.8125, 13.1875, 13.25, 13.3125, 13.375, 13.5625, 13.625, 13.6875, 14.0, 14.0625, 14.3125, 14.375, 14.9375, 15.0, 15.125, 15.1875, 16.0, 16.125, 18.625]","[0.0, 0.0, 0.001707067258449983, 0.001707067258449983, 0.0017857142857142857, 0.0017857142857142857, 0.0026041666666666665, 0.0026041666666666665, 0.004975124378109453, 0.004975124378109453, 0.005012531328320802, 0.005012531328320802, 0.0057361376673040155, 0.0057361376673040155, 0.006980802792321117, 0.006980802792321117, 0.013230429988974642, 0.013230429988974642, 0.017035775127768313, 0.017035775127768313, 0.02530459231490159, 0.02530459231490159, 0.02848101265822785, 0.02848101265822785, 0.03225806451612903, 0.03225806451612903, 0.04697986577181208, 0.04697986577181208, 0.05333333333333333, 0.05333333333333333, 0.0854341736694678, 0.0854341736694678, 0.09218612818261633, 0.09218612818261633, 0.1111111111111111, 0.13513513513513514, 0.13513513513513514, 0.152, 0.152, 0.19270239452679588, 0.19270239452679588, 0.33114495798319327, 0.33114495798319327, 0.37254901960784315, 0.37254901960784315, 0.4098360655737705, 0.4098360655737705, 0.419497132774592, 0.419497132774592, 0.42857142857142855, 0.45454545454545453, 0.5138888888888888, 0.5138888888888888, 0.5294117647058824, 0.5294117647058824, 0.5357142857142857, 0.5357142857142857, 0.6666666666666666, 0.7241379310344828, 0.7241379310344828, 0.7368421052631579, 0.7368421052631579, 0.8181818181818182, 0.8181818181818182, 0.9285714285714286, 0.9285714285714286, 0.9772727272727273, 0.9772727272727273, 1.0, 1.0]"
77,train_only,41,42,20992,21504,0.08874809451219512,0.17471168154761904,0.08874809451219515,0.09785670028169612,0.06682904557577819,0.12981429732693237,59,-15.9375,18.625,"[-15.9375, -4.15625, -4.125, -3.671875, -3.65625, -3.453125, -3.4375, -3.1875, -3.171875, -1.28125, -1.2734375, -1.2265625, -1.21875, -0.310546875, -0.306640625, 0.671875, 0.67578125, 0.8203125, 0.82421875, 1.5078125, 1.515625, 2.421875, 2.4375, 2.515625, 2.53125, 2.5625, 2.578125, 2.59375, 3.328125, 3.34375, 4.0, 4.03125, 4.0625, 5.875, 5.90625, 6.5, 6.53125, 9.625, 9.6875, 12.0, 12.0625, 12.6875, 12.75, 13.1875, 13.25, 13.5625, 13.625, 13.75, 13.8125, 14.0, 14.0625, 15.0, 15.0625, 15.125, 16.25, 16.375, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.0018348623853211008, 0.0018348623853211008, 0.00398406374501992, 0.00398406374501992, 0.00625, 0.00625, 0.015577507598784195, 0.015577507598784195, 0.018867924528301886, 0.018867924528301886, 0.01998262380538662, 0.01998262380538662, 0.02093244529019981, 0.02093244529019981, 0.025477707006369428, 0.025477707006369428, 0.046753246753246755, 0.046753246753246755, 0.061611374407582936, 0.061611374407582936, 0.06363636363636363, 0.06363636363636363, 0.06666666666666667, 0.06666666666666667, 0.08333333333333333, 0.1076923076923077, 0.1076923076923077, 0.11175616835994194, 0.11175616835994194, 0.13333333333333333, 0.16760828625235405, 0.16760828625235405, 0.20040485829959515, 0.20040485829959515, 0.20650863800723182, 0.20650863800723182, 0.26196928635953026, 0.26196928635953026, 0.3358208955223881, 0.3358208955223881, 0.34615384615384615, 0.34615384615384615, 0.41379310344827586, 0.41379310344827586, 0.5714285714285714, 0.5714285714285714, 0.5789473684210527, 0.5789473684210527, 0.6190476190476191, 0.6190476190476191, 0.875, 0.8852459016393442, 0.8852459016393442, 0.9629629629629629, 0.9629629629629629, 1.0, 1.0]"
78,train_only,41,42,20992,21504,0.12161775914634146,0.14262462797619047,0.12161775914634146,0.11530835411441491,0.0837381938334805,0.10823184869633581,69,-15.0,18.625,"[-15.0, -4.25, -4.21875, -3.671875, -3.65625, -3.453125, -3.4375, -3.1875, -3.171875, -2.359375, -2.34375, -1.7578125, -1.75, -1.375, -1.3671875, -0.75, -0.74609375, -0.703125, -0.69921875, -0.169921875, -0.1689453125, 2.140625, 2.15625, 2.421875, 2.4375, 2.515625, 2.53125, 2.796875, 2.8125, 2.875, 2.890625, 2.953125, 2.96875, 3.5, 3.515625, 4.1875, 4.21875, 4.25, 4.40625, 4.4375, 4.46875, 6.875, 6.90625, 7.59375, 7.625, 7.6875, 7.71875, 8.4375, 8.5, 12.6875, 12.75, 13.1875, 13.25, 13.3125, 13.375, 13.5625, 13.625, 13.75, 13.8125, 14.3125, 14.375, 14.875, 14.9375, 15.0, 16.25, 16.375, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.0030627871362940277, 0.0030627871362940277, 0.00398406374501992, 0.00398406374501992, 0.005555555555555556, 0.005555555555555556, 0.006334841628959276, 0.006334841628959276, 0.019161676646706587, 0.019161676646706587, 0.027944111776447105, 0.027944111776447105, 0.028985507246376812, 0.028985507246376812, 0.034482758620689655, 0.034482758620689655, 0.037606837606837605, 0.037606837606837605, 0.042477173481540294, 0.042477173481540294, 0.04791344667697063, 0.04791344667697063, 0.07207207207207207, 0.07207207207207207, 0.07668711656441718, 0.07668711656441718, 0.07936507936507936, 0.07936507936507936, 0.09090909090909091, 0.09090909090909091, 0.12140575079872204, 0.12140575079872204, 0.1366906474820144, 0.1366906474820144, 0.17391304347826086, 0.18128654970760233, 0.18128654970760233, 0.18421052631578946, 0.22627037392138064, 0.22627037392138064, 0.23300970873786409, 0.23300970873786409, 0.3088235294117647, 0.3088235294117647, 0.34465195246179964, 0.34465195246179964, 0.35988308366824995, 0.35988308366824995, 0.3877551020408163, 0.3877551020408163, 0.45, 0.45, 0.5, 0.5, 0.5416666666666666, 0.5416666666666666, 0.7333333333333333, 0.7333333333333333, 0.7666666666666667, 0.7666666666666667, 0.8, 0.8904109589041096, 0.8904109589041096, 0.9615384615384616, 0.9615384615384616, 1.0, 1.0]"
79,train_only,41,42,20992,21504,0.13657583841463414,0.12802269345238096,0.13657583841463414,0.14782964454626907,0.08888186996109032,0.10503474927728455,54,-14.0,17.375,"[-14.0, -9.1875, -9.125, -5.4375, -5.40625, -5.21875, -5.1875, -4.59375, -4.5625, -4.34375, -4.3125, -2.421875, -2.40625, -1.6953125, -1.6875, -1.5625, -1.5546875, -0.86328125, -0.859375, 0.470703125, 0.47265625, 0.609375, 0.61328125, 0.671875, 0.67578125, 1.1171875, 1.125, 1.40625, 1.4140625, 1.640625, 1.6484375, 1.703125, 1.7109375, 2.4375, 2.453125, 2.875, 2.890625, 2.953125, 2.96875, 4.25, 4.28125, 4.5, 4.53125, 6.84375, 6.875, 7.5625, 7.59375, 8.25, 8.3125, 16.125, 16.375, 16.5, 16.75, 17.375]","[0.0, 0.0, 0.0018684603886397607, 0.0018684603886397607, 0.004201680672268907, 0.004201680672268907, 0.004470938897168405, 0.004470938897168405, 0.007042253521126761, 0.007042253521126761, 0.009251471825063078, 0.009251471825063078, 0.014605647517039922, 0.014605647517039922, 0.029069767441860465, 0.029069767441860465, 0.03296703296703297, 0.03296703296703297, 0.04473219540906415, 0.04473219540906415, 0.06077348066298342, 0.06077348066298342, 0.06349206349206349, 0.06349206349206349, 0.06422018348623854, 0.06422018348623854, 0.08012820512820513, 0.08012820512820513, 0.08583690987124463, 0.08583690987124463, 0.08695652173913043, 0.08695652173913043, 0.0881488736532811, 0.0881488736532811, 0.11879049676025918, 0.11879049676025918, 0.14666666666666667, 0.14666666666666667, 0.16392092257001648, 0.16392092257001648, 0.18947368421052632, 0.18947368421052632, 0.22529644268774704, 0.22529644268774704, 0.23513870541611626, 0.23513870541611626, 0.33116883116883117, 0.33116883116883117, 0.5220532319391635, 0.5220532319391635, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]"
80,train_only,41,42,20992,21504,0.15948932926829268,0.1056547619047619,0.1594893292682927,0.21425660943377411,0.09097289411187616,0.11425243936345711,64,-15.9375,18.625,"[-15.9375, -9.1875, -9.125, -4.34375, -4.3125, -3.203125, -3.1875, -2.390625, -2.375, -1.7578125, -1.75, -1.28125, -1.2734375, -0.76953125, -0.765625, -0.169921875, -0.1689453125, 0.69140625, 0.6953125, 0.75, 0.75390625, 1.5078125, 1.515625, 2.421875, 2.4375, 2.46875, 2.484375, 2.546875, 2.5625, 2.578125, 2.59375, 3.296875, 3.3125, 3.328125, 3.34375, 4.03125, 4.0625, 4.4375, 4.46875, 6.03125, 6.0625, 7.6875, 7.71875, 8.25, 8.3125, 13.5625, 13.625, 13.75, 13.8125, 13.9375, 14.0, 14.875, 14.9375, 15.0, 15.0625, 15.125, 15.1875, 15.25, 15.3125, 16.25, 16.375, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.001635131978509694, 0.001635131978509694, 0.00798035604665439, 0.00798035604665439, 0.01598173515981735, 0.01598173515981735, 0.019553072625698324, 0.019553072625698324, 0.025559105431309903, 0.025559105431309903, 0.0297339593114241, 0.0297339593114241, 0.03763440860215054, 0.03763440860215054, 0.06503198294243069, 0.06503198294243069, 0.06756756756756757, 0.06756756756756757, 0.06842737094837935, 0.06842737094837935, 0.08724279835390947, 0.08724279835390947, 0.08888888888888889, 0.08888888888888889, 0.13043478260869565, 0.13043478260869565, 0.16666666666666666, 0.17647058823529413, 0.2287480680061824, 0.2287480680061824, 0.26666666666666666, 0.26666666666666666, 0.27184466019417475, 0.27184466019417475, 0.36470588235294116, 0.36470588235294116, 0.4422560429722471, 0.4422560429722471, 0.46620959843290893, 0.46620959843290893, 0.4684931506849315, 0.4684931506849315, 0.5094494658997536, 0.5094494658997536, 0.5454545454545454, 0.5454545454545454, 0.5714285714285714, 0.5714285714285714, 0.5901639344262295, 0.5901639344262295, 0.7142857142857143, 0.7142857142857143, 0.8333333333333334, 0.8333333333333334, 0.8571428571428571, 0.8571428571428571, 0.8846153846153846, 0.8846153846153846, 0.9629629629629629, 0.9629629629629629, 1.0, 1.0]"
81,train_only,41,42,20992,21504,0.09627477134146341,0.1673642113095238,0.09627477134146341,0.1199266844207264,0.07307567417964844,0.11671790975700788,49,-14.125,18.625,"[-14.125, -5.4375, -5.40625, -4.59375, -4.5625, -4.34375, -4.3125, -3.203125, -3.1875, -2.4375, -2.421875, -1.7578125, -1.75, -1.375, -1.3671875, -1.2265625, -1.21875, -0.7109375, -0.70703125, -0.6015625, -0.59765625, 0.41796875, 0.419921875, 1.0234375, 1.03125, 2.421875, 2.4375, 2.59375, 2.609375, 2.625, 3.296875, 3.3125, 4.0, 4.03125, 4.0625, 9.625, 9.6875, 12.625, 12.6875, 15.75, 15.8125, 16.125, 16.25, 16.375, 16.5, 16.625, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.0019083969465648854, 0.0019083969465648854, 0.003236245954692557, 0.003236245954692557, 0.004898958971218615, 0.004898958971218615, 0.014136904761904762, 0.014136904761904762, 0.0144, 0.0144, 0.025594149908592323, 0.025594149908592323, 0.02564102564102564, 0.02564102564102564, 0.02832512315270936, 0.02832512315270936, 0.033816425120772944, 0.033816425120772944, 0.05139833711262283, 0.05139833711262283, 0.05389221556886228, 0.05389221556886228, 0.07981829980532122, 0.07981829980532122, 0.11688311688311688, 0.11688311688311688, 0.13333333333333333, 0.15593220338983052, 0.15593220338983052, 0.17045454545454544, 0.17045454545454544, 0.23529411764705882, 0.23947868585392343, 0.23947868585392343, 0.2788844621513944, 0.2788844621513944, 0.3397312859884837, 0.3397312859884837, 0.38095238095238093, 0.38095238095238093, 0.7142857142857143, 0.9090909090909091, 0.9090909090909091, 0.95, 0.95, 1.0, 1.0]"
82,train_only,41,42,20992,21504,0.10427782012195122,0.1595517113095238,0.10427782012195122,0.12233048850105778,0.07590634197510002,0.11221636559748066,48,-15.9375,18.625,"[-15.9375, -5.4375, -5.40625, -4.5625, -4.53125, -4.34375, -4.3125, -3.421875, -3.40625, -3.203125, -3.1875, -1.3515625, -1.34375, -0.92578125, -0.921875, -0.7265625, -0.72265625, -0.55078125, -0.546875, 0.62109375, 0.625, 1.5234375, 1.53125, 2.46875, 2.484375, 2.578125, 2.59375, 4.03125, 4.0625, 6.03125, 6.0625, 6.09375, 7.625, 7.65625, 8.0, 8.0625, 9.5, 9.5625, 15.75, 15.8125, 16.125, 16.25, 16.375, 16.5, 16.625, 17.25, 17.375, 18.625]","[0.0, 0.0, 0.0030991735537190084, 0.0030991735537190084, 0.0037593984962406013, 0.0037593984962406013, 0.006642066420664207, 0.006642066420664207, 0.008356545961002786, 0.008356545961002786, 0.010927152317880795, 0.010927152317880795, 0.011824324324324325, 0.011824324324324325, 0.016877637130801686, 0.016877637130801686, 0.019230769230769232, 0.019230769230769232, 0.028589580686149935, 0.028589580686149935, 0.04541406945681211, 0.04541406945681211, 0.07221750212404418, 0.07221750212404418, 0.125, 0.125, 0.16887417218543047, 0.16887417218543047, 0.24360795454545456, 0.24360795454545456, 0.25, 0.2547642928786359, 0.2547642928786359, 0.28938906752411575, 0.28938906752411575, 0.3041860465116279, 0.3041860465116279, 0.3269230769230769, 0.3269230769230769, 0.38095238095238093, 0.38095238095238093, 0.7142857142857143, 0.9166666666666666, 0.9166666666666666, 0.95, 0.95, 1.0, 1.0]"
83,train_only,41,42,20992,21504,0.17721036585365854,0.08835565476190477,0.17721036585365854,0.14333622847729274,0.11264988434794813,0.07632405961768945,57,-15.0,18.625,"[-15.0, -5.4375, -5.40625, -5.0, -4.96875, -4.59375, -4.5625, -4.34375, -4.3125, -2.421875, -2.40625, -2.265625, -2.25, -1.7578125, -1.75, -1.1015625, -1.09375, -0.89453125, -0.890625, -0.7265625, -0.72265625, -0.61328125, -0.609375, -0.1767578125, -0.17578125, 0.359375, 0.361328125, 1.046875, 1.0546875, 1.0625, 2.46875, 2.484375, 2.515625, 2.53125, 2.953125, 2.96875, 3.75, 3.765625, 3.921875, 3.9375, 8.25, 8.3125, 8.4375, 8.5, 8.75, 8.8125, 12.8125, 12.875, 13.1875, 13.25, 15.75, 15.8125, 16.125, 16.25, 16.5, 16.625, 18.625]","[0.0, 0.0, 0.0022371364653243847, 0.0022371364653243847, 0.004807692307692308, 0.004807692307692308, 0.007936507936507936, 0.007936507936507936, 0.008210180623973728, 0.008210180623973728, 0.014018691588785047, 0.014018691588785047, 0.01443001443001443, 0.01443001443001443, 0.022900763358778626, 0.022900763358778626, 0.023715415019762844, 0.023715415019762844, 0.040462427745664734, 0.040462427745664734, 0.043209876543209874, 0.043209876543209874, 0.06732673267326733, 0.06732673267326733, 0.08319738988580751, 0.08319738988580751, 0.10276679841897234, 0.10276679841897234, 0.1111111111111111, 0.12167749556999409, 0.12167749556999409, 0.13725490196078433, 0.13725490196078433, 0.13915094339622644, 0.13915094339622644, 0.18192918192918192, 0.18192918192918192, 0.21264367816091953, 0.21264367816091953, 0.35264663805436336, 0.35264663805436336, 0.417910447761194, 0.417910447761194, 0.42168674698795183, 0.42168674698795183, 0.4301994301994302, 0.4301994301994302, 0.5104166666666666, 0.5104166666666666, 0.5297619047619048, 0.5297619047619048, 0.6, 0.6, 0.9565217391304348, 0.9565217391304348, 1.0, 1.0]"
84,train_only,41,42,20992,21504,0.10184832317073171,0.16192336309523808,0.10184832317073171,0.092054198874666,0.0800749492560125,0.1138024221270516,54,-15.9375,18.625,"[-15.9375, -9.1875, -9.125, -5.21875, -5.1875, -4.25, -4.21875, -3.109375, -3.09375, -1.9296875, -1.921875, -1.7578125, -1.75, -0.94921875, -0.9453125, -0.76953125, -0.765625, -0.7109375, -0.70703125, -0.6015625, -0.59765625, -0.169921875, -0.1689453125, 0.41796875, 0.419921875, 0.63671875, 0.640625, 0.67578125, 0.6796875, 0.78515625, 0.7890625, 0.81640625, 0.8203125, 1.015625, 1.0234375, 1.375, 1.3828125, 1.453125, 1.4609375, 2.578125, 2.59375, 4.03125, 4.0625, 11.625, 11.6875, 12.0, 12.0625, 15.75, 15.8125, 16.125, 16.25, 16.5, 16.625, 18.625]","[0.0, 0.0, 0.0019083969465648854, 0.0019083969465648854, 0.002890173410404624, 0.002890173410404624, 0.004891684136967156, 0.004891684136967156, 0.013973268529769137, 0.013973268529769137, 0.014634146341463415, 0.014634146341463415, 0.021627188465499485, 0.021627188465499485, 0.02643171806167401, 0.02643171806167401, 0.03076923076923077, 0.03076923076923077, 0.030864197530864196, 0.030864197530864196, 0.04194260485651214, 0.04194260485651214, 0.05874316939890709, 0.05874316939890709, 0.06106870229007633, 0.06106870229007633, 0.06451612903225806, 0.06451612903225806, 0.07042253521126761, 0.07042253521126761, 0.07692307692307693, 0.07692307692307693, 0.07860262008733625, 0.07860262008733625, 0.08571428571428572, 0.08571428571428572, 0.10588235294117647, 0.10588235294117647, 0.10846343467543139, 0.10846343467543139, 0.1288014311270125, 0.1288014311270125, 0.20421393841166938, 0.20421393841166938, 0.25675675675675674, 0.25675675675675674, 0.34053156146179403, 0.34053156146179403, 0.4, 0.4, 0.9411764705882353, 0.9411764705882353, 1.0, 1.0]"
